"","arriv","hdi","gini","gdp_cap","alphab","dens_pop","urb_pop","median_age","life_exp","p65yrs","prev_ch.resp","prev_malaria","alcohol_cons","med_1000","health_exp","lack_hygien","immuniz_dtp1","immuniz_bcg","pm25","hous_fossf","epi","lat_abs","ah_avg","ws2m_avg","rh2m_avg","tmax_avg","tmin_avg","tmoy_avg","insol_avg","conf_pm","death_pm"
"MDG",486000,0.521,42.6,523.3590645,74.80432129,45.92122698,37.8609988,19.6,66.681,3.044064128,1973064.145,1539657.454,1.97,0.2,22.05,30.2,85,70,17.5,7.4,26.5,18.766947,12.73536803,2.505286236,79.14488429,24.61503045,13.77136419,18.60876979,21.56554202,2373.401734,51.31759596
"MWI",871000,0.485,44.7,411.5523404,62.14353943,157.2311529,17.17399995,18.1,63.798,2.642024179,847686.6459,2770899.157,3.63,0,35.5,28.3,97,91,25.62,9.3,38.3,13.2543,15.15941348,3.755883069,62.79411693,29.29806334,22.32745432,25.87087698,20.44714982,4597.195936,140.9649291
"MLI",217000,0.427,33,879.0080104,35.47377014,15.85082205,43.13599872,16.4,58.893,2.495127818,714226.8733,2560451.58,1.28,0.1,34.95,70.7,82,83,63.64,6.8,29.4,17.570692,7.847943523,3.016723508,26.48870889,35.55602923,21.33063337,27.97274056,22.98585871,1550.71482,36.9823407
"MRT",30000,0.527,32.6,1679.444873,53.49758911,4.390895508,54.50699738,20.299999,64.704,3.156243813,216413.4055,304370.9274,0.036,0.7,54.49,38.6,89,90,74.13,19.8,27.7,21.0079,6.508076817,3.397868453,26.81828258,33.25652862,18.93998782,25.58655298,22.34788063,12963.53091,216.9831999
"MUS",1418000,0.796,36.8,11099.24028,91.32539368,620.4465686,40.76602005,37.400002,74.41634146,11.99872723,64907.24471,0,4.35,2.5,653.35,0.6,97,99,10.52,63.3,45.1,20.348404,17.5025567,5.779939099,75.4217296,26.35911084,23.8681486,24.97643118,20.36739342,166185.6459,764.7875384
"MAR",13109000,0.676,39.5,3204.095003,73.75000763,81.67454708,62.99399955,29.6,76.453,7.300454771,1595026.668,0,0.69,0.2,174.78,1.9,99,99,28.38,44.6,42.3,31.7917,7.416708463,1.980280146,49.45909866,25.96533496,12.1637637,18.16371498,20.02779537,31895.18995,440.3405823
"MOZ",2033000,0.446,54,503.5707727,60.65542984,37.98698491,36.52800122,17.700001,60.163,2.878446169,1526587.435,7515602.135,2.3,0.1,40.26,27.6,93,94,21.22,7,33.9,18.665695,17.35139271,2.347478685,72.16494519,31.93936663,20.82019488,25.64970767,19.37552984,7418.024532,72.44936415
"NAM",1651000,0.645,59.1,4957.458222,91.52726746,3.02627716,51.0419999,22,63.373,3.608054423,79001.80035,66558.77153,5.43,0.4,471.49,18.3,92,94,24.05,20.4,40.2,22.9576,7.218859928,2.84774665,36.92529842,30.10063337,13.6737637,21.50968331,23.06695493,63196.67432,1611.125142
"NER",192000,0.377,34.3,553.8950504,35.04999924,18.39835438,16.51700087,15.1,62.024,2.596711426,818782.8548,5795517.276,0.67,0,30.36,70.8,92,70,93.18,5.4,30.8,17.607789,6.108752502,3.415298417,22.45198538,35.29512789,20.0291961,27.02518879,23.22747868,377.5516967,13.21280793
"NGA",5265000,0.534,35.1,2229.858696,62.01601028,217.5472239,51.15699983,18.1,54.332,2.743083338,9107672.02,41121466.6,10.84,0.4,83.75,68.6,65,67,61.73,11.7,31,9.082,13.41800478,2.279062119,58.90460414,31.61239951,20.61673569,25.41460414,19.52943971,1270.951562,15.63467223
"RWA",1634000,0.536,43.7,820.0252417,73.21559143,479.3830676,17.31300116,20.299999,68.7,3.028253062,1100689.026,1571710.846,8.95,0.1,58.31,19.3,99,98,39.7,11.8,33.8,1.9403,13.25912318,1.264786845,80.4938246,24.50129111,14.76580999,19.18936663,16.85302071,10273.42311,115.5465096
"STP",33400.00153,0.609,56.3,1946.643614,92.81664276,224.0166667,73.59803958,18.700001,70.17,2.960159214,11497.17069,2199.57957,5.88,0.1,125.4,11.4,97,95,39,16,37.6,0.1864,21.01904289,3.520085262,82.86806334,27.03822168,26.31984166,26.70116931,16.64621803,27643.9625,339.4464698
"SEN",1376000,0.514,40.3,1446.830965,51.90042114,82.8446139,47.65299793,18.700001,67.665,3.098476445,499547.8728,366445.3275,0.76,0.1,58.9,23.9,97,99,59.78,12.3,30.7,14.4974,11.8468454,2.85952497,41.96227771,36.59596833,22.57538368,29.15686967,21.32365408,5270.807648,120.5176811
"SYC",428000,0.801,32.1,17448.27029,95.8677063,212.2282609,57.11856594,36.200001,72.84146341,7.805481947,4626.375462,0,20.5,2.1,833.08,0.2,99,98,13.67,72.3,58.2,4.6796,21.27516799,4.433118149,80.03976857,27.88883069,27.19518879,27.57535932,21.15039586,414043.5339,1679.897567
"SLE",71000,0.438,35.7,527.5336344,43.20632935,108.0665975,42.48399666,19.1,54.309,2.947736623,309017.4082,2812585.721,5.7,0,85.78,81.3,95,86,54.28,7,25.7,8.460555,19.49674691,1.520085262,78.14311815,31.59758831,22.52146163,26.56085262,18.26684531,982.1821107,15.99853581
"SOM",828447,0.285,36.8,126.9249205,37.8,24.21808644,45.55400036,16.799999,57.068,2.889203812,1039771.805,928400.0484,0.009,0,37.0222,86.6,52,37,27.67,9.886,31.609,5.152149,16.10521448,4.443995128,58.9117296,35.02880633,22.39008526,28.12227771,22.51939099,1710.170463,88.13108674
"ZAF",14797000,0.705,63,6001.400814,87.04666901,48.03441091,66.8559966,27.299999,63.857,5.415255608,3163955.157,44391.53658,9.52,0.9,525.96,13.7,84,84,25.15,36.2,43.1,30.5595,6.710338021,3.179890378,40.34775883,27.45783191,10.89343484,18.86035323,22.42326431,63508.60434,1708.247187
"SSD",500054,0.413,44.1,1119.651333,34.52275848,17.45069923,19.89900121,19.200001,57.604,3.376805137,457822.8021,1505656.173,2.97448,0.092,26.79,63.3,51,52,34.75,7.909,30.084,6.877,15.83037771,2.160548112,60.22908648,33.63517661,22.73749086,27.87673569,19.30876979,1560.461369,12.47501269
"SDN",836000,0.507,34.2,441.5056034,60.6971817,23.09104859,34.9360004,19.700001,65.095,3.627317326,2005576.772,1474056.296,0.51,0.3,60.17,17.3,97,92,43.8,19.7,34.8,12.8628,9.473608552,3.154725944,38.55828258,33.62485993,18.96367844,25.76218027,22.23158343,1447.099143,114.6140827
"TZA",1527000,0.528,40.5,1122.12181,77.88722992,61.23241106,34.50000046,17.700001,65.015,2.620541103,3810839.871,3667203.238,11.27,0,36.82,38.4,91,91,26.73,10.6,31.1,6.369028,14.21205606,2.380694275,74.24857491,27.88333739,16.77207065,21.82892814,21.14589525,582.9623324,13.7918044
"TGO",876000,0.513,43.1,679.2902491,63.74562073,142.3202324,42.24800015,19.4,60.76,2.887347591,358585.8843,2075058.208,2.46,0.1,41.84,41.6,90,98,45.48,10.7,29.5,8.6195,17.62148669,1.708526188,73.65755177,31.02141291,21.32522533,25.77099878,18.46546894,4570.320127,33.65351186
"TUN",9429000,0.739,32.8,3317.453593,79.03643036,71.47924332,69.2540026,32.700001,76.505,8.593468556,639005.8401,0,2.12,1.3,251.55,1,97,92,33.27,81.1,46.7,33.886917,9.187498374,3.168489647,51.69953715,27.44136419,14.13136419,20.18660171,19.54872107,88577.07483,2421.862381
"UGA",1402000,0.528,42.8,794.3410779,76.52749634,183.2730035,24.36100046,16.4,62.973,1.962550187,2371576.034,14144212.71,15.09,0.2,43.14,31.6,99,88,42.75,11.3,35.6,1.373333,14.99049607,2.08046285,68.86250914,28.86940317,19.94859927,24.12952497,20.28409257,3702.428353,81.22956809
"ZMB",1266000,0.591,57.1,1305.063254,86.74796295,23.73211889,44.07199921,17.700001,63.51,2.115314738,601391.8768,2098027.33,6.54,1.2,75.99,34.9,94,95,30.79,12.5,34.7,13.133897,12.55077427,2.397783191,68.59745432,27.59103532,15.4217296,21.05807552,20.40706456,17739.73841,222.0476647
"ZWE",2294000,0.563,50.3,1463.98591,88.69342041,37.47944518,32.20999834,19.6,61.195,2.980608063,425653.6694,188089.1321,4.67,0.2,140.32,24.6,94,95,25.18,10.2,37,19.015438,10.87011209,2.600828258,59.50667479,28.30518879,14.17275274,20.75316687,20.80152253,16816.53328,371.7190874
