Code_ISO,arriv,hdi,gini,gdp_cap,alphab,dens_pop,urb_pop,median_age,life_exp,p65yrs,prev_cvlds,prev_ch.resp,prev_diab,prev_malaria,prev_nutdef,pref_respdtub,alcohol_cons,med_1000,health_exp,lack_hygien,immuniz_dtp1,immuniz_bcg,pm25,hous_fossf,epi,lat_abs,ah_avg,ws2m_avg,rh2m_avg,tdew_avg,tmax_avg,tmin_avg,tmoy_avg,insol_avg,conf_pm,death_pm
LSO,1142000,0.518,44.9,1118.131284,76.6352005,70.00223979,28.58500669,22.200001,53.705,4.925825825,88884.93533,64557.65746,75571.45524,0,367281.9077,648630.0899,4.59,0.1,124.79,44.4,92,96,24.49,10,28,29.61,6.06321417,2.169605911,61.17298851,1.491674877,16.81990148,4.132594417,9.819326765,19.02617406,6773.263419,189.623144
LBR,,0.465,35.3,621.8929536,48.30136108,44.33306995,51.6150083,19.200001,63.73,3.285693974,175077.8307,155553.9,125843.1333,1787587.488,765191.4973,1159016.544,6.12,0,45.42,41.5,94,84,52.28,11.4,22.6,6.428055,20.07215856,1.4663711,86.62765189,22.49206897,29.17642036,21.88418719,25.09658456,6.767110016,1132.990938,49.62151946
LBY,760000,0.708,31.72,7685.949267,86.09999847,3.851831729,80.3930002,29,72.724,4.458238878,447340.9701,364028.8629,578716.0524,0,730112.0676,1330109.274,0.019,2.1,309.88,0.6,74,74,49.23,,,26.3351,6.02272359,3.570213465,30.52489327,2.24407225,31.69449918,15.76134647,23.46444992,23.21341544,45588.22401,626.636677
MDG,486000,0.521,42.6,523.3590645,74.80432129,45.92122698,37.8609988,19.6,66.681,3.044064128,1146814.337,1973064.145,459673.4381,1539657.454,6103629.313,7000073.796,1.97,0.2,22.05,30.2,85,70,17.5,7.4,26.5,18.766947,12.48823591,2.479162562,80.2379803,14.0755665,23.96696223,13.25599343,18.00284072,19.31801314,1589.547703,35.44770357
MWI,871000,0.485,44.7,411.5523404,62.14353943,157.2311529,17.17399995,18.1,63.798,2.642024179,702533.4716,847686.6459,375599.076,2770899.157,4592630.339,3222762.862,3.63,0,35.5,28.3,97,91,25.62,9.3,38.3,13.2543,14.8852224,3.767898194,63.81224959,17.17868637,28.64756979,21.55587849,25.12482759,20.053711,3247.346695,116.8623955
MLI,217000,0.427,33,879.0080104,35.47377014,15.85082205,43.13599872,16.4,58.893,2.495127818,696751.0407,714226.8733,376597.0038,2560451.58,7100486.69,5014326.166,1.28,0.1,34.95,70.7,82,83,63.64,6.8,29.4,17.570692,8.22075929,2.969441708,26.81599343,5.472577997,36.4510509,22.35929392,28.99954023,20.13985222,757.4003724,27.41881931
MRT,30000,0.527,32.6,1679.444873,53.49758911,4.390895508,54.50699738,20.299999,64.704,3.156243813,166594.9079,216413.4055,66021.9319,304370.9274,1002005.544,826815.9814,0.036,0.7,54.49,38.6,89,90,74.13,19.8,27.7,21.0079,6.669100524,3.418735632,26.3720197,3.715123153,34.27487685,19.70584565,26.53561576,21.28328407,7419.853212,157.9867494
MUS,1418000,0.796,36.8,11099.24028,91.32539368,620.4465686,40.76602005,37.400002,74.41634146,11.99872723,101211.8467,64907.24471,190191.4605,0,157588.9703,395693.9988,4.35,2.5,653.35,0.6,97,99,10.52,63.3,45.1,20.348404,17.22566426,5.897865353,75.27004926,20.00768473,26.06392447,23.6380624,24.72060755,19.46627258,8434.784876,24.4921629
MAR,13109000,0.676,39.5,3204.095003,73.75000763,81.67454708,62.99399955,29.6,76.453,7.300454771,2668374.317,1595026.668,2460112.135,0,4726291.784,7958957.721,0.69,0.2,174.78,1.9,99,99,28.38,44.6,42.3,31.7917,7.693003517,2.022495895,48.6016092,5.649934319,27.10604269,12.98464696,19.20796388,19.53377668,23605.87445,346.8161909
MOZ,2033000,0.446,54,503.5707727,60.65542984,37.98698491,36.52800122,17.700001,60.163,2.878446169,1112063.049,1526587.435,546759.7087,7515602.135,6813896.839,7328086.306,2.3,0.1,40.26,27.6,93,94,21.22,7,33.9,18.665695,17.08770007,2.200114943,73.96745484,19.06323481,30.87592775,20.22586207,24.85492611,18.7882266,4818.409621,61.38437035
